page_num,row_num,full_link,company,co_hq_city,co_hq_zip,labor_area,id,notice_date
page003.html,64,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=377,Cascades  ,Kingman  ,86401  ,11  ,377,2019-10-30
page003.html,65,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=89,Catalyst Paper Inc.  ,Snowflake  ,85937  ,14  ,89,2012-07-30
page003.html,66,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=49,Cellco Partnership dba Verizon Wireless  ,Phoenix  ,85044  ,7  ,49,2011-07-27
page003.html,67,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=103,Cementation  ,Sandy  ,84070  ,2  ,103,2012-12-10
page003.html,68,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=16,CEMEX  ,Tucson  ,85743  ,6  ,16,2010-11-22
page003.html,69,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=115,CenturyLink  ,New Century  ,66031  ,5  ,115,2014-02-26
page003.html,70,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=6,"Chevron Mining, Inc. McKinley Mine  ",Gallup  ,87305  ,15  ,6,2012-02-08
page003.html,71,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=26,"Citigroup, Inc.  ",Phoenix  ,85044  ,7  ,26,2010-07-30
page003.html,72,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=394,CMA CGM (America) LLC  ,Scottsdale  ,85254  ,7  ,394,2020-01-03
page003.html,73,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=27,Coach-Net Services Group  ,Lake Havasu City  ,86403  ,11  ,27,2010-07-27
page003.html,74,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=135,Cody Inc.  ,Phoenix  ,85034  ,5  ,135,2013-08-01
page003.html,75,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=401,Cognizant  ,Phoenix  ,85021  ,5  ,401,2019-12-18
page004.html,76,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=328,Combat Tactical Training Range  ,Yuma  ,85365  ,9  ,328,2019-02-07
page004.html,77,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=204,Community Partners Inc  ,Tucson  ,85711  ,6  ,204,2015-07-27
page004.html,78,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=391,"Compass USA - Holy Cross  ",Tucson  ,85621  ,6  ,391,2019-12-30
page004.html,79,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=390,Compass USA - St Joseph's  ,Tucson  ,85711  ,6  ,390,2019-12-30
page004.html,80,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=389,Compass USA - St Mary' Hospital  ,Tucson  ,85745  ,6  ,389,2019-12-30
page004.html,81,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=352,Conair Corporation  ,Stamford  ,06902  ,7  ,352,2019-05-13
page004.html,82,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=319,Concentrix Corporation  ,Tucson  ,85705  ,6  ,319,2019-04-05
page004.html,83,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=290,Conifer Health Solutions  ,Phoenix  ,85020  ,5  ,290,2019-02-28
page004.html,84,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=63,Covance Laboratories Inc.  ,Chandler  ,852861703  ,7  ,63,2012-05-02
page004.html,85,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=29,Crowne Plaza Hotel  ,Phoenix  ,85029  ,7  ,29,2010-06-30
page004.html,86,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=272,Da Vita Rx  ,Coppell  ,75019  ,7  ,272,2017-04-19
page004.html,87,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=224,"DAL Global Services, LLC  ",Atlanta  ,303206001  ,5  ,224,2015-11-16
page004.html,88,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=242,DataSphere Technologies  ,Bellevue  ,98008  ,7  ,242,2016-05-30
page004.html,89,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=159,Davidson Hotels & Resorts  ,Alanta  ,30346  ,7  ,159,2014-06-26
page004.html,90,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=132,Delaware North Companies Travel Hospitality Serv  ,Buffalo  ,14202  ,5  ,132,2013-12-20
page004.html,91,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=57,Deluxe Corporation  ,Phoenix  ,850347244  ,7  ,57,2011-05-24
page004.html,92,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=418,Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,2003  ,418,2020-03-23
page004.html,93,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=428,Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,428,2020-03-23
page004.html,94,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=429,Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,429,2020-03-23
page004.html,95,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=430,Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,430,2020-03-23
page004.html,96,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=431,Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,431,2020-03-23
page004.html,97,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=432,Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,432,2020-03-23
page004.html,98,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=52,"DeVry, Inc.  ",Phoenix  ,85021  ,7  ,52,2011-06-17
page004.html,99,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=343,Dexcom  ,San Diego  ,92121  ,7  ,343,2019-02-26
page004.html,100,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=342,DialAmerica Marketing  ,Phoenix  ,85040  ,5  ,342,2019-03-04
page005.html,101,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=297,Direct Energy  ,Houston  ,77046  ,7  ,297,2018-04-30
page005.html,102,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=383,District medical Group (DMG)  ,Phoenix  ,85008  ,5  ,383,2019-11-14
page005.html,103,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=388,Ditech Financial LLC  ,Tempe  ,85282  ,7  ,388,2019-12-16
page005.html,104,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=24,"Dole Fresh Vegetables, Inc.  ",Yuma  ,85365  ,9  ,24,2010-08-27
page005.html,105,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=313,Dream Center Education Holdings  ,Phoenix  ,85201  ,5  ,313,2018-06-29
page005.html,106,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=437,Drive Time  ,Phoenix  ,85040  ,5  ,437,2020-03-27
page005.html,107,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=375,Dun & Bradstreet  ,Tucson  ,85701  ,6  ,375,2019-10-29
