id,page_num,page_name,full_link,company,co_hq_city,co_hq_state,co_hq_zip,labor_area,notice_date,num_employees_affected
233,page001.html,id=233,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=233,Aeroturbine  ,Miramar  ,FL,33027  ,7  ,2016-01-27,61
260,page001.html,id=260,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=260,Albertson Company #1026  ,Surprise  ,AZ,85374  ,7  ,2017-01-06,77
262,page001.html,id=262,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=262,Albertson Company #969  ,Scottsdale  ,AZ,85260  ,7  ,2017-01-06,77
2,page001.html,id=2,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=2,Albertson's Store #968  ,Casa Grande  ,AZ,85222  ,2  ,2012-01-06,73
284,page001.html,id=284,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=284,Albertsons  ,Phoenix  ,AZ,85028  ,5  ,2018-01-05,76
358,page001.html,id=358,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=358,Albertsons 2929  ,Gilbert  ,AZ,85297  ,7  ,2019-06-21,99
122,page001.html,id=122,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=122,Albertsons LLC  ,Tolleson  ,AZ,85353  ,7  ,2014-01-13,68
303,page001.html,id=303,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=303,Albertsons Store 959  ,Tucson  ,AZ,85710  ,6  ,2018-06-18,54
348,page001.html,id=348,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=348,Albertsons/Safeway 0940  ,Tempe  ,AZ,85283  ,7  ,2019-04-26,60
314,page001.html,id=314,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=314,Alorica  ,Tucson  ,AZ,85756  ,6  ,2019-01-25,227
369,page001.html,id=369,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=369,Alorica - Mesa  ,Mesa  ,AZ,85203  ,7  ,2019-08-28,192
407,page002.html,id=407,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=407,Amentum  ,Yuma  ,AZ,85364  ,9  ,2020-03-13,62
40,page002.html,id=40,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=40,"American Airlines, Inc.  ",Tucson  ,AZ,85706  ,6  ,2012-05-01,550
58,page002.html,id=58,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=58,Ameron International Phoenix Division  ,Phoenix  ,AZ,85034  ,7  ,2011-04-06,112
203,page002.html,id=203,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=203,"Ameron International, Inc.  ",Phoenix  ,AZ,85034  ,5  ,2015-07-31,82
379,page002.html,id=379,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=379,AMR Patient Advocacy Group - AZ  ,Scottsdale  ,AZ,85258  ,7  ,2019-10-31,77
162,page002.html,id=162,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=162,Anthem Education  ,Fort Lauderdale  ,FL,33334  ,5  ,2014-07-15,21
152,page002.html,id=152,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=152,Aramark  ,Anaheim  ,CA,92807  ,5  ,2013-09-09,201
414,page002.html,id=414,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=414,Ares Collective Restaurants  ,Tucson  ,AZ,85715  ,6  ,2020-03-23,180
344,page002.html,id=344,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=344,Arizona Daily Star  ,Tucson  ,AZ,85714  ,6  ,2019-03-21,59
175,page002.html,id=175,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=175,Arizona Grand Senior Living Community  ,Phoenix  ,AZ,85016  ,5  ,2014-12-30,92
160,page002.html,id=160,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=160,Arizona Neurological Institute  ,Sun City  ,AZ,85351  ,7  ,2014-08-01,110
9,page002.html,id=9,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=9,Armor Works  ,Chandler  ,AZ,85226  ,7  ,2012-03-12,124
247,page002.html,id=247,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=247,ARRIS Group Inc.  ,Suwanee  ,GA,30024  ,5  ,2016-08-24,20
248,page002.html,id=248,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=248,ARRIS Group Inc.  ,Suwanee  ,GA,30024  ,7  ,2016-08-24,139
249,page002.html,id=249,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=249,ARRIS Group Inc.  ,Suwanee  ,GA,30024  ,7  ,2016-08-24,36
232,page002.html,id=232,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=232,ASARCO Grupo Mexico  ,Tucson  ,AZ,85711  ,2002  ,2016-02-11,162
216,page002.html,id=216,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=216,ASARCO Grupo Mexico  ,Tucson  ,AZ,85711  ,14  ,2015-08-21,170
92,page002.html,id=92,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=92,"Asset Acceptance, LLC  ",Warren  ,MI,48093  ,7  ,2012-09-10,84
301,page002.html,id=301,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=301,AT&T  ,Phoenix  ,AZ,85044  ,5  ,2018-06-14,85
252,page002.html,id=252,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=252,AT&T  ,Phx  ,AZ,85027  ,5  ,2016-11-29,50
32,page002.html,id=32,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=32,ATC/Vancom of Arizona L.P. dba Veolia Tranport.  ,Phoenix  ,AZ,85003  ,7  ,2010-04-28,953
205,page002.html,id=205,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=205,Atkore International  ,Harvey  ,IL,60426  ,5  ,2015-08-06,60
215,page002.html,id=215,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=215,ATSCO Remanufacturing Inc.  ,Daphne  ,AL,36526  ,5  ,2015-08-26,155
86,page002.html,id=86,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=86,"Bada Bing Bakery LLC, dba Chompie's Baking Co.  ",Phoenix  ,AZ,85034  ,7  ,2012-03-16,74
141,page002.html,id=141,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=141,Bank of America  ,Washington  ,DC,20004  ,7  ,2013-11-22,82
218,page003.html,id=218,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=218,"Beck, Chaet, Bamberger,& Polsky, S.C.  ",Milwaukee  ,WI,53202  ,5  ,2015-08-14,22
402,page003.html,id=402,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=402,Bella Fresh  ,Phoenix  ,AZ,85043  ,5  ,2020-02-05,125
171,page003.html,id=171,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=171,"Benchmark Electronics Phoenix, Inc.  ",Phoenix  ,AZ,85023  ,5  ,2014-10-30,140
433,page003.html,id=433,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=433,Best Western Hotels & Resorts  ,Phoenix  ,AZ,85016  ,5  ,2020-03-25,31
121,page003.html,id=121,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=121,"Blue Chip southwest, LLC  ",Walnut Creek  ,CA,94598  ,7  ,2014-01-24,85
292,page003.html,id=292,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=292,Boyd Coffee Company  ,Tempe  ,AZ,85282  ,7  ,2018-03-22,4
48,page003.html,id=48,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=48,Bridgeway Health Solutions  ,Tucson  ,AZ,85714  ,6  ,2011-07-29,134
307,page003.html,id=307,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=307,C & W Services  ,Dallas  ,TX,75254  ,5  ,2018-07-03,51
208,page003.html,id=208,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=208,Calvery Staffing  ,Phoenix  ,AZ,95040  ,5  ,2015-08-04,411
422,page003.html,id=422,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=422,"Cameron Mitchell Restaurants, LLC  ",Columbus  ,OH,85054  ,5  ,2020-03-24,75
181,page003.html,id=181,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=181,Captial Group Companies Global  ,Scottsdale  ,AZ,85254  ,7  ,2015-04-22,173
33,page003.html,id=33,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=33,CardWorks Processing LLC  ,Tucson  ,AZ,85711  ,6  ,2011-12-01,146
47,page003.html,id=47,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=47,Carlota Copper Company  ,Miami  ,AZ,85539  ,2  ,2011-08-01,32
377,page003.html,id=377,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=377,Cascades  ,Kingman  ,AZ,86401  ,11  ,2019-10-30,94
89,page003.html,id=89,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=89,Catalyst Paper Inc.  ,Snowflake  ,AZ,85937  ,14  ,2012-07-30,266
49,page003.html,id=49,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=49,Cellco Partnership dba Verizon Wireless  ,Phoenix  ,AZ,85044  ,7  ,2011-07-27,130
103,page003.html,id=103,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=103,Cementation  ,Sandy  ,UT,84070  ,2  ,2012-12-10,400
16,page003.html,id=16,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=16,CEMEX  ,Tucson  ,AZ,85743  ,6  ,2010-11-22,49
115,page003.html,id=115,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=115,CenturyLink  ,New Century  ,KS,66031  ,5  ,2014-02-26,52
6,page003.html,id=6,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=6,"Chevron Mining, Inc. McKinley Mine  ",Gallup  ,NM,87305  ,15  ,2012-02-08,103
26,page003.html,id=26,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=26,"Citigroup, Inc.  ",Phoenix  ,AZ,85044  ,7  ,2010-07-30,272
394,page003.html,id=394,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=394,CMA CGM (America) LLC  ,Scottsdale  ,AZ,85254  ,7  ,2020-01-03,100
27,page003.html,id=27,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=27,Coach-Net Services Group  ,Lake Havasu City  ,AZ,86403  ,11  ,2010-07-27,160
135,page003.html,id=135,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=135,Cody Inc.  ,Phoenix  ,AZ,85034  ,5  ,2013-08-01,50
401,page003.html,id=401,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=401,Cognizant  ,Phoenix  ,AZ,85021  ,5  ,2019-12-18,602
